endorser,category,candidate,endorsement
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 1",Richie Greenberg,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 11",Ahsha Safai,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 11",Berta Hernandez,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 11",Francisco Herrera,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 11",Kim Alvarenga,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 11",Magdalena de Guzman,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 3",Aaron Peskin,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 3",Tim E. Donnelly,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 5",Dean Preston,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 5",London Breed,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 7",Ben Matranga,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 7",Joel Engardio,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 7",John Farrell,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 7",Mike Young,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 7",Norman Yee,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 9",Hillary Ronen,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 9",Iswari Espana,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 9",Joshua Arce,NA
Latina/o Young Democrats of San Francisco,"Member, Board of Supervisors, District 9",Melissa San Miguel,NA
Latina/o Young Democrats of San Francisco,"Member, Community College Board",Alex Randolph,Yes
Latina/o Young Democrats of San Francisco,"Member, Community College Board",Dr. Amy Bacharach,No
Latina/o Young Democrats of San Francisco,"Member, Community College Board",Rafael Mandelman,Yes
Latina/o Young Democrats of San Francisco,"Member, Community College Board",Shanell Williams,Yes
Latina/o Young Democrats of San Francisco,"Member, Community College Board",Tom Temprano,Yes
Latina/o Young Democrats of San Francisco,"Member, State Assembly, District 17",David Chiu,NA
Latina/o Young Democrats of San Francisco,"Member, State Assembly, District 17",Matthew Del Carlo,NA
Latina/o Young Democrats of San Francisco,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",NA
Latina/o Young Democrats of San Francisco,"Member, State Assembly, District 19",Phil Ting,NA
Latina/o Young Democrats of San Francisco,"State Senator, District 11",Jane Kim,NA
Latina/o Young Democrats of San Francisco,"State Senator, District 11",Scott Wiener,NA
Latina/o Young Democrats of San Francisco,"United States Representative, District 12",Nancy Pelosi,NA
Latina/o Young Democrats of San Francisco,"United States Representative, District 12",Preston Picus,NA
Latina/o Young Democrats of San Francisco,"United States Representative, District 13",Barbara Lee,NA
Latina/o Young Democrats of San Francisco,"United States Representative, District 13",Sue Caro,NA
Latina/o Young Democrats of San Francisco,"United States Representative, District 14",Angel Cardenas,NA
Latina/o Young Democrats of San Francisco,"United States Representative, District 14",Jackie Speier,NA
Latina/o Young Democrats of San Francisco,President and Vice President,Donald J. Trump and Michael R. Pence,NA
Latina/o Young Democrats of San Francisco,President and Vice President,Gary Johnson and Bill Weld,NA
Latina/o Young Democrats of San Francisco,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
Latina/o Young Democrats of San Francisco,President and Vice President,Hillary Clinton and Tim Kaine,NA
Latina/o Young Democrats of San Francisco,President and Vice President,Jill Stein and Ajamu Baraka,NA
Latina/o Young Democrats of San Francisco,Regional Proposition,RR,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,A,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,B,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,C,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,D,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,E,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,F,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,G,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,H,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,I,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,J,Abstain
Latina/o Young Democrats of San Francisco,SF Proposition,K,No
Latina/o Young Democrats of San Francisco,SF Proposition,L,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,M,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,N,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,O,Abstain
Latina/o Young Democrats of San Francisco,SF Proposition,P,No
Latina/o Young Democrats of San Francisco,SF Proposition,Q,No
Latina/o Young Democrats of San Francisco,SF Proposition,R,No
Latina/o Young Democrats of San Francisco,SF Proposition,S,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,T,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,U,No
Latina/o Young Democrats of San Francisco,SF Proposition,V,Abstain
Latina/o Young Democrats of San Francisco,SF Proposition,W,Yes
Latina/o Young Democrats of San Francisco,SF Proposition,X,Yes
Latina/o Young Democrats of San Francisco,State Proposition,51,Yes
Latina/o Young Democrats of San Francisco,State Proposition,52,No
Latina/o Young Democrats of San Francisco,State Proposition,53,No
Latina/o Young Democrats of San Francisco,State Proposition,54,Abstain
Latina/o Young Democrats of San Francisco,State Proposition,55,Yes
Latina/o Young Democrats of San Francisco,State Proposition,56,Yes
Latina/o Young Democrats of San Francisco,State Proposition,57,Yes
Latina/o Young Democrats of San Francisco,State Proposition,58,Yes
Latina/o Young Democrats of San Francisco,State Proposition,59,Yes
Latina/o Young Democrats of San Francisco,State Proposition,60,No
Latina/o Young Democrats of San Francisco,State Proposition,61,Abstain
Latina/o Young Democrats of San Francisco,State Proposition,62,Yes
Latina/o Young Democrats of San Francisco,State Proposition,63,Yes
Latina/o Young Democrats of San Francisco,State Proposition,64,Yes
Latina/o Young Democrats of San Francisco,State Proposition,65,No
Latina/o Young Democrats of San Francisco,State Proposition,66,No
Latina/o Young Democrats of San Francisco,State Proposition,67,Yes
Latina/o Young Democrats of San Francisco,United States Senator,Kamala D. Harris,NA
Latina/o Young Democrats of San Francisco,United States Senator,Loretta L. Sanchez,NA
National Nurses United,"BART Director, District 7",Lateefah Simon,NA
National Nurses United,"BART Director, District 7",Roland Emerson,NA
National Nurses United,"BART Director, District 7",Will Roscoe,NA
National Nurses United,"BART Director, District 7",Zakhary Mallett,NA
National Nurses United,"BART Director, District 9",Bevan Dufty,NA
National Nurses United,"BART Director, District 9",Gywneth Borden,NA
National Nurses United,"BART Director, District 9",Michael Petraeus,NA
National Nurses United,"Judge of the Superior Court, Office No 7",Paul Henderson,NA
National Nurses United,"Judge of the Superior Court, Office No 7",Victor Hwang,NA
National Nurses United,"Member, Board of Education",Ian Kalin,No
National Nurses United,"Member, Board of Education",Jill Wynns,No
National Nurses United,"Member, Board of Education",Mark Sanchez,No
National Nurses United,"Member, Board of Education",Matt Haney,Yes
National Nurses United,"Member, Board of Education",Phil Kim,No
National Nurses United,"Member, Board of Education",Rachel Norton,No
National Nurses United,"Member, Board of Education",Rob Geller,No
National Nurses United,"Member, Board of Education",Stevon Cook,No
National Nurses United,"Member, Board of Education",Trevor McNeil,No
National Nurses United,"Member, Board of Supervisors, District 1",Andy Thornley,No
National Nurses United,"Member, Board of Supervisors, District 1",Brian J. Larkin,No
National Nurses United,"Member, Board of Supervisors, District 1",David Lee,No
National Nurses United,"Member, Board of Supervisors, District 1",Jason Jungreis,No
National Nurses United,"Member, Board of Supervisors, District 1",Jonathan Lyens,No
National Nurses United,"Member, Board of Supervisors, District 1",Marjan Philhour,No
National Nurses United,"Member, Board of Supervisors, District 1",Richie Greenberg,No
National Nurses United,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,Yes
National Nurses United,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,No
National Nurses United,"Member, Board of Supervisors, District 11",Ahsha Safai,No
National Nurses United,"Member, Board of Supervisors, District 11",Berta Hernandez,No
National Nurses United,"Member, Board of Supervisors, District 11",Francisco Herrera,No
National Nurses United,"Member, Board of Supervisors, District 11",Kim Alvarenga,Yes
National Nurses United,"Member, Board of Supervisors, District 11",Magdalena de Guzman,No
National Nurses United,"Member, Board of Supervisors, District 3",Aaron Peskin,Yes
National Nurses United,"Member, Board of Supervisors, District 3",Tim E. Donnelly,No
National Nurses United,"Member, Board of Supervisors, District 5",Dean Preston,Yes
National Nurses United,"Member, Board of Supervisors, District 5",London Breed,No
National Nurses United,"Member, Board of Supervisors, District 7",Ben Matranga,No
National Nurses United,"Member, Board of Supervisors, District 7",Joel Engardio,No
National Nurses United,"Member, Board of Supervisors, District 7",John Farrell,No
National Nurses United,"Member, Board of Supervisors, District 7",Mike Young,No
National Nurses United,"Member, Board of Supervisors, District 7",Norman Yee,Yes
National Nurses United,"Member, Board of Supervisors, District 9",Hillary Ronen,Yes
National Nurses United,"Member, Board of Supervisors, District 9",Iswari Espana,No
National Nurses United,"Member, Board of Supervisors, District 9",Joshua Arce,No
National Nurses United,"Member, Board of Supervisors, District 9",Melissa San Miguel,No
National Nurses United,"Member, Community College Board",Alex Randolph,No
National Nurses United,"Member, Community College Board",Dr. Amy Bacharach,No
National Nurses United,"Member, Community College Board",Rafael Mandelman,Yes
National Nurses United,"Member, Community College Board",Shanell Williams,Yes
National Nurses United,"Member, Community College Board",Tom Temprano,Yes
National Nurses United,"Member, State Assembly, District 17",David Chiu,Yes
National Nurses United,"Member, State Assembly, District 17",Matthew Del Carlo,No
National Nurses United,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",No
National Nurses United,"Member, State Assembly, District 19",Phil Ting,Yes
National Nurses United,"State Senator, District 11",Jane Kim,Yes
National Nurses United,"State Senator, District 11",Scott Wiener,No
National Nurses United,"United States Representative, District 12",Nancy Pelosi,NA
National Nurses United,"United States Representative, District 12",Preston Picus,NA
National Nurses United,"United States Representative, District 13",Barbara Lee,NA
National Nurses United,"United States Representative, District 13",Sue Caro,NA
National Nurses United,"United States Representative, District 14",Angel Cardenas,NA
National Nurses United,"United States Representative, District 14",Jackie Speier,NA
National Nurses United,President and Vice President,Donald J. Trump and Michael R. Pence,NA
National Nurses United,President and Vice President,Gary Johnson and Bill Weld,NA
National Nurses United,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
National Nurses United,President and Vice President,Hillary Clinton and Tim Kaine,NA
National Nurses United,President and Vice President,Jill Stein and Ajamu Baraka,NA
National Nurses United,Regional Proposition,RR,NA
National Nurses United,SF Proposition,A,NA
National Nurses United,SF Proposition,B,Yes
National Nurses United,SF Proposition,C,Yes
National Nurses United,SF Proposition,D,Yes
National Nurses United,SF Proposition,E,NA
National Nurses United,SF Proposition,F,NA
National Nurses United,SF Proposition,G,NA
National Nurses United,SF Proposition,H,Yes
National Nurses United,SF Proposition,I,Yes
National Nurses United,SF Proposition,J,NA
National Nurses United,SF Proposition,K,NA
National Nurses United,SF Proposition,L,NA
National Nurses United,SF Proposition,M,NA
National Nurses United,SF Proposition,N,NA
National Nurses United,SF Proposition,O,No
National Nurses United,SF Proposition,P,No
National Nurses United,SF Proposition,Q,No
National Nurses United,SF Proposition,R,NA
National Nurses United,SF Proposition,S,NA
National Nurses United,SF Proposition,T,NA
National Nurses United,SF Proposition,U,No
National Nurses United,SF Proposition,V,Yes
National Nurses United,SF Proposition,W,Yes
National Nurses United,SF Proposition,X,NA
National Nurses United,State Proposition,51,Abstain
National Nurses United,State Proposition,52,Abstain
National Nurses United,State Proposition,53,No
National Nurses United,State Proposition,54,No
National Nurses United,State Proposition,55,Yes
National Nurses United,State Proposition,56,Yes
National Nurses United,State Proposition,57,Yes
National Nurses United,State Proposition,58,Yes
National Nurses United,State Proposition,59,Yes
National Nurses United,State Proposition,60,Yes
National Nurses United,State Proposition,61,Yes
National Nurses United,State Proposition,62,Yes
National Nurses United,State Proposition,63,Yes
National Nurses United,State Proposition,64,Yes
National Nurses United,State Proposition,65,No
National Nurses United,State Proposition,66,No
National Nurses United,State Proposition,67,Yes
National Nurses United,United States Senator,Kamala D. Harris,NA
National Nurses United,United States Senator,Loretta L. Sanchez,NA
New Avenues Democratic Club,"BART Director, District 7",Lateefah Simon,NA
New Avenues Democratic Club,"BART Director, District 7",Roland Emerson,NA
New Avenues Democratic Club,"BART Director, District 7",Will Roscoe,NA
New Avenues Democratic Club,"BART Director, District 7",Zakhary Mallett,NA
New Avenues Democratic Club,"BART Director, District 9",Bevan Dufty,NA
New Avenues Democratic Club,"BART Director, District 9",Gywneth Borden,NA
New Avenues Democratic Club,"BART Director, District 9",Michael Petraeus,NA
New Avenues Democratic Club,"Judge of the Superior Court, Office No 7",Paul Henderson,No
New Avenues Democratic Club,"Judge of the Superior Court, Office No 7",Victor Hwang,Yes
New Avenues Democratic Club,"Member, Board of Education",Ian Kalin,No
New Avenues Democratic Club,"Member, Board of Education",Jill Wynns,No
New Avenues Democratic Club,"Member, Board of Education",Mark Sanchez,No
New Avenues Democratic Club,"Member, Board of Education",Matt Haney,Yes
New Avenues Democratic Club,"Member, Board of Education",Phil Kim,No
New Avenues Democratic Club,"Member, Board of Education",Rachel Norton,Yes
New Avenues Democratic Club,"Member, Board of Education",Rob Geller,No
New Avenues Democratic Club,"Member, Board of Education",Stevon Cook,Yes
New Avenues Democratic Club,"Member, Board of Education",Trevor McNeil,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Andy Thornley,Abstain
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Brian J. Larkin,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",David Lee,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Jason Jungreis,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Jonathan Lyens,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Marjan Philhour,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Richie Greenberg,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,Yes
New Avenues Democratic Club,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 11",Ahsha Safai,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 11",Berta Hernandez,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 11",Francisco Herrera,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 11",Kim Alvarenga,Yes
New Avenues Democratic Club,"Member, Board of Supervisors, District 11",Magdalena de Guzman,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 3",Aaron Peskin,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 3",Tim E. Donnelly,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 5",Dean Preston,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 5",London Breed,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 7",Ben Matranga,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 7",Joel Engardio,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 7",John Farrell,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 7",Mike Young,No
New Avenues Democratic Club,"Member, Board of Supervisors, District 7",Norman Yee,Yes
New Avenues Democratic Club,"Member, Board of Supervisors, District 9",Hillary Ronen,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 9",Iswari Espana,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 9",Joshua Arce,NA
New Avenues Democratic Club,"Member, Board of Supervisors, District 9",Melissa San Miguel,NA
New Avenues Democratic Club,"Member, Community College Board",Alex Randolph,Yes
New Avenues Democratic Club,"Member, Community College Board",Dr. Amy Bacharach,Yes
New Avenues Democratic Club,"Member, Community College Board",Rafael Mandelman,Yes
New Avenues Democratic Club,"Member, Community College Board",Shanell Williams,Yes
New Avenues Democratic Club,"Member, Community College Board",Tom Temprano,No
New Avenues Democratic Club,"Member, State Assembly, District 17",David Chiu,NA
New Avenues Democratic Club,"Member, State Assembly, District 17",Matthew Del Carlo,NA
New Avenues Democratic Club,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",No
New Avenues Democratic Club,"Member, State Assembly, District 19",Phil Ting,Yes
New Avenues Democratic Club,"State Senator, District 11",Jane Kim,Yes
New Avenues Democratic Club,"State Senator, District 11",Scott Wiener,No
New Avenues Democratic Club,"United States Representative, District 12",Nancy Pelosi,NA
New Avenues Democratic Club,"United States Representative, District 12",Preston Picus,NA
New Avenues Democratic Club,"United States Representative, District 13",Barbara Lee,NA
New Avenues Democratic Club,"United States Representative, District 13",Sue Caro,NA
New Avenues Democratic Club,"United States Representative, District 14",Angel Cardenas,NA
New Avenues Democratic Club,"United States Representative, District 14",Jackie Speier,NA
New Avenues Democratic Club,President and Vice President,Donald J. Trump and Michael R. Pence,NA
New Avenues Democratic Club,President and Vice President,Gary Johnson and Bill Weld,NA
New Avenues Democratic Club,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
New Avenues Democratic Club,President and Vice President,Hillary Clinton and Tim Kaine,NA
New Avenues Democratic Club,President and Vice President,Jill Stein and Ajamu Baraka,NA
New Avenues Democratic Club,Regional Proposition,RR,Yes
New Avenues Democratic Club,SF Proposition,A,Yes
New Avenues Democratic Club,SF Proposition,B,Yes
New Avenues Democratic Club,SF Proposition,C,Yes
New Avenues Democratic Club,SF Proposition,D,Yes
New Avenues Democratic Club,SF Proposition,E,Yes
New Avenues Democratic Club,SF Proposition,F,Yes
New Avenues Democratic Club,SF Proposition,G,Yes
New Avenues Democratic Club,SF Proposition,H,Yes
New Avenues Democratic Club,SF Proposition,I,Yes
New Avenues Democratic Club,SF Proposition,J,Yes
New Avenues Democratic Club,SF Proposition,K,Yes
New Avenues Democratic Club,SF Proposition,L,No
New Avenues Democratic Club,SF Proposition,M,Yes
New Avenues Democratic Club,SF Proposition,N,Yes
New Avenues Democratic Club,SF Proposition,O,Yes
New Avenues Democratic Club,SF Proposition,P,No
New Avenues Democratic Club,SF Proposition,Q,No
New Avenues Democratic Club,SF Proposition,R,No
New Avenues Democratic Club,SF Proposition,S,Yes
New Avenues Democratic Club,SF Proposition,T,Yes
New Avenues Democratic Club,SF Proposition,U,No
New Avenues Democratic Club,SF Proposition,V,Yes
New Avenues Democratic Club,SF Proposition,W,Yes
New Avenues Democratic Club,SF Proposition,X,Yes
New Avenues Democratic Club,State Proposition,51,Yes
New Avenues Democratic Club,State Proposition,52,No
New Avenues Democratic Club,State Proposition,53,No
New Avenues Democratic Club,State Proposition,54,No
New Avenues Democratic Club,State Proposition,55,Yes
New Avenues Democratic Club,State Proposition,56,Yes
New Avenues Democratic Club,State Proposition,57,Yes
New Avenues Democratic Club,State Proposition,58,Yes
New Avenues Democratic Club,State Proposition,59,Yes
New Avenues Democratic Club,State Proposition,60,No
New Avenues Democratic Club,State Proposition,61,Yes
New Avenues Democratic Club,State Proposition,62,Yes
New Avenues Democratic Club,State Proposition,63,Yes
New Avenues Democratic Club,State Proposition,64,Yes
New Avenues Democratic Club,State Proposition,65,No
New Avenues Democratic Club,State Proposition,66,No
New Avenues Democratic Club,State Proposition,67,Yes
New Avenues Democratic Club,United States Senator,Kamala D. Harris,NA
New Avenues Democratic Club,United States Senator,Loretta L. Sanchez,NA
Nick Josefowitz,"BART Director, District 7",Lateefah Simon,Yes
Nick Josefowitz,"BART Director, District 7",Roland Emerson,No
Nick Josefowitz,"BART Director, District 7",Will Roscoe,No
Nick Josefowitz,"BART Director, District 7",Zakhary Mallett,No
Nick Josefowitz,"BART Director, District 9",Bevan Dufty,No
Nick Josefowitz,"BART Director, District 9",Gywneth Borden,Yes
Nick Josefowitz,"BART Director, District 9",Michael Petraeus,No
Nick Josefowitz,"Judge of the Superior Court, Office No 7",Paul Henderson,NA
Nick Josefowitz,"Judge of the Superior Court, Office No 7",Victor Hwang,NA
Nick Josefowitz,"Member, Board of Education",Ian Kalin,NA
Nick Josefowitz,"Member, Board of Education",Jill Wynns,NA
Nick Josefowitz,"Member, Board of Education",Mark Sanchez,NA
Nick Josefowitz,"Member, Board of Education",Matt Haney,NA
Nick Josefowitz,"Member, Board of Education",Phil Kim,NA
Nick Josefowitz,"Member, Board of Education",Rachel Norton,NA
Nick Josefowitz,"Member, Board of Education",Rob Geller,NA
Nick Josefowitz,"Member, Board of Education",Stevon Cook,NA
Nick Josefowitz,"Member, Board of Education",Trevor McNeil,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Andy Thornley,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Brian J. Larkin,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",David Lee,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Jason Jungreis,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Jonathan Lyens,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Marjan Philhour,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Richie Greenberg,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Sandra Lee Fewer,NA
Nick Josefowitz,"Member, Board of Supervisors, District 1",Sherman R. D'Silva,NA
Nick Josefowitz,"Member, Board of Supervisors, District 11",Ahsha Safai,NA
Nick Josefowitz,"Member, Board of Supervisors, District 11",Berta Hernandez,NA
Nick Josefowitz,"Member, Board of Supervisors, District 11",Francisco Herrera,NA
Nick Josefowitz,"Member, Board of Supervisors, District 11",Kim Alvarenga,NA
Nick Josefowitz,"Member, Board of Supervisors, District 11",Magdalena de Guzman,NA
Nick Josefowitz,"Member, Board of Supervisors, District 3",Aaron Peskin,NA
Nick Josefowitz,"Member, Board of Supervisors, District 3",Tim E. Donnelly,NA
Nick Josefowitz,"Member, Board of Supervisors, District 5",Dean Preston,NA
Nick Josefowitz,"Member, Board of Supervisors, District 5",London Breed,NA
Nick Josefowitz,"Member, Board of Supervisors, District 7",Ben Matranga,NA
Nick Josefowitz,"Member, Board of Supervisors, District 7",Joel Engardio,NA
Nick Josefowitz,"Member, Board of Supervisors, District 7",John Farrell,NA
Nick Josefowitz,"Member, Board of Supervisors, District 7",Mike Young,NA
Nick Josefowitz,"Member, Board of Supervisors, District 7",Norman Yee,NA
Nick Josefowitz,"Member, Board of Supervisors, District 9",Hillary Ronen,NA
Nick Josefowitz,"Member, Board of Supervisors, District 9",Iswari Espana,NA
Nick Josefowitz,"Member, Board of Supervisors, District 9",Joshua Arce,NA
Nick Josefowitz,"Member, Board of Supervisors, District 9",Melissa San Miguel,NA
Nick Josefowitz,"Member, Community College Board",Alex Randolph,NA
Nick Josefowitz,"Member, Community College Board",Dr. Amy Bacharach,NA
Nick Josefowitz,"Member, Community College Board",Rafael Mandelman,NA
Nick Josefowitz,"Member, Community College Board",Shanell Williams,NA
Nick Josefowitz,"Member, Community College Board",Tom Temprano,NA
Nick Josefowitz,"Member, State Assembly, District 17",David Chiu,NA
Nick Josefowitz,"Member, State Assembly, District 17",Matthew Del Carlo,NA
Nick Josefowitz,"Member, State Assembly, District 19","Carlos ""Chuck"" Taylor",NA
Nick Josefowitz,"Member, State Assembly, District 19",Phil Ting,NA
Nick Josefowitz,"State Senator, District 11",Jane Kim,No
Nick Josefowitz,"State Senator, District 11",Scott Wiener,Yes
Nick Josefowitz,"United States Representative, District 12",Nancy Pelosi,NA
Nick Josefowitz,"United States Representative, District 12",Preston Picus,NA
Nick Josefowitz,"United States Representative, District 13",Barbara Lee,NA
Nick Josefowitz,"United States Representative, District 13",Sue Caro,NA
Nick Josefowitz,"United States Representative, District 14",Angel Cardenas,NA
Nick Josefowitz,"United States Representative, District 14",Jackie Speier,NA
Nick Josefowitz,President and Vice President,Donald J. Trump and Michael R. Pence,NA
Nick Josefowitz,President and Vice President,Gary Johnson and Bill Weld,NA
Nick Josefowitz,President and Vice President,Gloria Estela La Riva and Dennis J. Banks,NA
Nick Josefowitz,President and Vice President,Hillary Clinton and Tim Kaine,NA
Nick Josefowitz,President and Vice President,Jill Stein and Ajamu Baraka,NA
Nick Josefowitz,Regional Proposition,RR,Yes
Nick Josefowitz,SF Proposition,A,NA
Nick Josefowitz,SF Proposition,B,NA
Nick Josefowitz,SF Proposition,C,NA
Nick Josefowitz,SF Proposition,D,NA
Nick Josefowitz,SF Proposition,E,NA
Nick Josefowitz,SF Proposition,F,NA
Nick Josefowitz,SF Proposition,G,NA
Nick Josefowitz,SF Proposition,H,NA
Nick Josefowitz,SF Proposition,I,NA
Nick Josefowitz,SF Proposition,J,Yes
Nick Josefowitz,SF Proposition,K,Yes
Nick Josefowitz,SF Proposition,L,NA
Nick Josefowitz,SF Proposition,M,NA
Nick Josefowitz,SF Proposition,N,NA
Nick Josefowitz,SF Proposition,O,NA
Nick Josefowitz,SF Proposition,P,NA
Nick Josefowitz,SF Proposition,Q,NA
Nick Josefowitz,SF Proposition,R,NA
Nick Josefowitz,SF Proposition,S,NA
Nick Josefowitz,SF Proposition,T,NA
Nick Josefowitz,SF Proposition,U,NA
Nick Josefowitz,SF Proposition,V,NA
Nick Josefowitz,SF Proposition,W,NA
Nick Josefowitz,SF Proposition,X,NA
Nick Josefowitz,State Proposition,51,NA
Nick Josefowitz,State Proposition,52,NA
Nick Josefowitz,State Proposition,53,NA
Nick Josefowitz,State Proposition,54,NA
Nick Josefowitz,State Proposition,55,NA
Nick Josefowitz,State Proposition,56,NA
Nick Josefowitz,State Proposition,57,NA
Nick Josefowitz,State Proposition,58,NA
Nick Josefowitz,State Proposition,59,NA
Nick Josefowitz,State Proposition,60,NA
Nick Josefowitz,State Proposition,61,NA
Nick Josefowitz,State Proposition,62,NA
Nick Josefowitz,State Proposition,63,NA
Nick Josefowitz,State Proposition,64,NA
Nick Josefowitz,State Proposition,65,NA
Nick Josefowitz,State Proposition,66,NA
Nick Josefowitz,State Proposition,67,NA
Nick Josefowitz,United States Senator,Kamala D. Harris,NA
Nick Josefowitz,United States Senator,Loretta L. Sanchez,NA
Noe Valley Democratic Club,"BART Director, District 7",Lateefah Simon,NA
Noe Valley Democratic Club,"BART Director, District 7",Roland Emerson,NA
Noe Valley Democratic Club,"BART Director, District 7",Will Roscoe,NA
Noe Valley Democratic Club,"BART Director, District 7",Zakhary Mallett,NA
Noe Valley Democratic Club,"BART Director, District 9",Bevan Dufty,No
Noe Valley Democratic Club,"BART Director, District 9",Gywneth Borden,Yes
Noe Valley Democratic Club,"BART Director, District 9",Michael Petraeus,No
Noe Valley Democratic Club,"Judge of the Superior Court, Office No 7",Paul Henderson,Yes
Noe Valley Democratic Club,"Judge of the Superior Court, Office No 7",Victor Hwang,No
Noe Valley Democratic Club,"Member, Board of Education",Ian Kalin,No
Noe Valley Democratic Club,"Member, Board of Education",Jill Wynns,Yes
Noe Valley Democratic Club,"Member, Board of Education",Mark Sanchez,No
Noe Valley Democratic Club,"Member, Board of Education",Matt Haney,Yes
Noe Valley Democratic Club,"Member, Board of Education",Phil Kim,No
Noe Valley Democratic Club,"Member, Board of Education",Rachel Norton,Yes
Noe Valley Democratic Club,"Member, Board of Education",Rob Geller,No
Noe Valley Democratic Club,"Member, Board of Education",Stevon Cook,No
Noe Valley Democratic Club,"Member, Board of Education",Trevor McNeil,Yes
Noe Valley Democratic Club,"Member, Board of Supervisors, District 1",Andy Thornley,NA
Noe Valley Democratic Club,"Member, Board of Supervisors, District 1",Brian J. Larkin,NA
Noe Valley Democratic Club,"Member, Board of Supervisors, District 1",David Lee,NA
